X,Y
-89.483018,43.082442
-89.483018,43.082442
-87.91117,43.008239
-87.910182,43.01171
-88.064399,43.1459
-89.316563,43.118129
-87.907101,43.09608
-87.910474,43.093754
-87.904365,43.089288
-87.916963,42.987457
-87.916558,42.992119
-87.91474,42.991857
-88.021899,43.032894
-98.739732,29.4339
-98.71983,29.433577
-88.043999,43.183186
-88.044199,43.177529
-89.355045,43.092112
-89.364085,43.08569
-89.360468,43.096373
-89.377644,43.080929
-87.910799,43.0871
-89.359017,43.1142
-87.942199,43.01877
-87.904673,43.0256
-87.910182,43.01171
-87.905567,43.026883
-87.910387,42.9519
-89.483018,43.082442
-89.33174,43.1062
-89.330915,43.10197
-87.909288,42.996075
-87.91117,43.008239
-87.910182,43.01171
-87.91474,42.991857
-87.883099,43.061975
-87.886014,43.057717
-87.912604,43.0347
-87.925015,43.031404
-88.061468,43.117081
-87.92011,42.9956
-87.939568,43.0375
-88.004499,43.163342
-88.004499,43.163342
-88.007412,43.1652
-89.39305,43.068503
-89.377644,43.080929
-87.910387,42.9519
-87.912604,43.0347
-89.355045,43.092112
-89.358156,43.105458
-89.358478,43.104252
-89.360468,43.096373
-87.910999,43.071855
-87.886014,43.057717
-87.883099,43.061975
-87.886014,43.057717
-89.452399,43.069736
-88.044199,43.177529
-89.380183,43.03464
-87.95854,43.154633
-87.931736,42.9252
-87.904673,43.0256
-87.905567,43.026883
-87.910387,42.9519
-87.916963,42.987457
-87.92882,43.099742
-87.92896,43.099767
-87.914204,43.057037
-87.902689,43.076782
-72.589469,42.111209
-89.316563,43.118129
-87.92882,43.099742
-87.92896,43.099767
-89.309999,43.106929
-89.309877,43.1102
-89.30961,43.110027
-84.381806,33.836182
-84.433742,33.812073
-84.370973,33.810604
-84.427878,33.81194
-84.350582,33.822249
-84.370415,33.822615
-84.351491,33.822655
-84.408899,33.71196
-84.440165,33.679604
-84.380418,33.717438
-84.429151,33.690022
-84.437477,33.668411
-84.401024,33.750075
-84.440135,33.688291
-84.443873,33.716079
-84.408099,33.737056
-84.38044,33.746853
-84.399353,33.677345
-84.399359,33.677167
-84.38897,33.755418
-84.415297,33.697165
-84.415164,33.696981
-84.368445,33.7712
-84.423779,33.801104
-84.414465,33.786281
-84.411699,33.786215
-84.436995,33.804556
-84.367562,33.781261
-84.409135,33.786082
-84.43727,33.804898
-84.409874,33.773269
-84.409082,33.785954
-84.367459,33.781457
-84.387538,33.658956
-84.428299,33.663079
-84.418152,33.65818
-89.316563,43.118129
-87.95854,43.154633
-89.355045,43.092112
-87.941299,43.058143
-89.364085,43.08569
-89.377644,43.080929
-87.982504,43.1484
-87.883099,43.061975
-87.899539,43.01628
-89.355045,43.092112
-89.358156,43.105458
-89.330915,43.10197
-89.358478,43.104252
-122.409497,47.2172
-122.410544,47.240632
-122.415181,47.240171
-122.409706,47.217717
-84.380418,33.717438
-84.399353,33.677345
-84.399359,33.677167
-84.387538,33.658956
-81.98591,33.451591
-81.960255,33.458858
-81.972291,33.455008
-81.985603,33.355705
-81.972535,33.365479
-81.992849,33.423999
-122.469844,48.73957
-122.463727,48.747832
-122.197797,47.673691
-122.19778,47.673717
-122.557699,45.627168
-122.558289,45.627171
-122.544066,45.617544
-122.521246,47.257771
-122.515899,47.259193
-122.317553,47.536894
-122.30899,47.689754
-122.305499,47.693073
-122.305496,47.693073
-122.31786,47.70777
